Frame	Temps(s)	X(m)	Y(m)	Z(m)
372	1776692055.59	-1.0863	0.2228	2.2166
373	1776692055.624	-1.0955	0.2183	2.2386
374	1776692055.656	-1.0984	0.2184	2.2404
375	1776692055.688	-1.0867	0.2226	2.2132
376	1776692055.719	-1.0877	0.2223	2.2088
377	1776692055.751	-1.0914	0.2224	2.2059
378	1776692055.782	-1.0919	0.2214	2.1996
379	1776692055.814	-1.0989	0.221	2.2007
380	1776692055.867	-1.0993	0.2212	2.1944
381	1776692055.893	-1.0987	0.221	2.1899
382	1776692055.932	-1.096	0.2216	2.1812
383	1776692055.962	-1.0992	0.2202	2.1831
384	1776692055.992	-1.0991	0.2223	2.1756
385	1776692056.023	-1.0986	0.2224	2.1672
386	1776692056.067	-1.0985	0.2214	2.1657
387	1776692056.088	-1.0975	0.221	2.1634
388	1776692056.132	-1.0986	0.2208	2.159
389	1776692056.151	-1.0982	0.2208	2.1535
390	1776692056.182	-1.0966	0.2198	2.1491
391	1776692056.213	-1.0938	0.2202	2.1451
392	1776692056.245	-1.0944	0.2215	2.1374
393	1776692056.298	-1.0922	0.2216	2.132
394	1776692056.332	-1.0956	0.2218	2.1298
395	1776692056.355	-1.0961	0.2221	2.1226
396	1776692056.39	-1.0934	0.2216	2.1195
397	1776692056.422	-1.0931	0.2195	2.1172
398	1776692056.454	-1.0911	0.2208	2.1102
399	1776692056.485	-1.0902	0.2218	2.1015
400	1776692056.516	-1.0899	0.2218	2.0955
401	1776692056.548	-1.0865	0.2212	2.0886
402	1776692056.58	-1.0887	0.2213	2.0844
403	1776692056.614	-1.0847	0.2215	2.0755
404	1776692056.644	-1.0837	0.2213	2.0715
405	1776692056.687	-1.0827	0.221	2.0642
406	1776692056.717	-1.0788	0.2206	2.0591
407	1776692056.748	-1.0786	0.2225	2.0482
408	1776692056.78	-1.0801	0.2228	2.0458
409	1776692056.812	-1.0771	0.2228	2.0406
410	1776692056.843	-1.0755	0.2234	2.0329
411	1776692056.859	-1.073	0.2248	2.0216
412	1776692056.906	-1.0724	0.2242	2.0134
413	1776692056.938	-1.0679	0.2238	2.0085
414	1776692056.972	-1.0665	0.2222	2.0039
415	1776692057.007	-1.07	0.2221	1.9964
416	1776692057.048	-1.0709	0.2218	1.9912
417	1776692057.08	-1.0685	0.2219	1.9867
418	1776692057.111	-1.0708	0.2228	1.9778
419	1776692057.143	-1.0663	0.2234	1.9691
420	1776692057.174	-1.0662	0.2237	1.9635
421	1776692057.205	-1.0669	0.2244	1.9564
422	1776692057.237	-1.0655	0.2241	1.9524
423	1776692057.269	-1.0636	0.224	1.9464
424	1776692057.318	-1.0606	0.227	1.9387
425	1776692057.348	-1.0604	0.2271	1.9327
426	1776692057.379	-1.0583	0.2259	1.9272
427	1776692057.41	-1.0575	0.2236	1.9227
428	1776692057.433	-1.0553	0.2232	1.9135
429	1776692057.457	-1.0542	0.2223	1.9096
430	1776692057.491	-1.0534	0.2219	1.9002
431	1776692057.533	-1.0504	0.2212	1.895
432	1776692057.561	-1.0517	0.2207	1.8897
433	1776692057.599	-1.0512	0.2208	1.8826
434	1776692057.631	-1.0514	0.221	1.8787
435	1776692057.663	-1.0489	0.2214	1.8705
436	1776692057.694	-1.0446	0.2251	1.8595
437	1776692057.726	-1.0402	0.226	1.8544
438	1776692057.757	-1.0373	0.2267	1.8485
439	1776692057.789	-1.034	0.2258	1.8446
440	1776692057.835	-1.0356	0.2257	1.839
441	1776692057.867	-1.0353	0.2252	1.8328
442	1776692057.898	-1.033	0.2262	1.8262
443	1776692057.933	-1.0323	0.2243	1.8256
444	1776692057.961	-1.0287	0.2254	1.8194
445	1776692058.009	-1.029	0.2255	1.8106
